Extinguished (Date),Counties (Location),CountyIds (might not need this one),Latitude,Longitude,Wildfire_Probability,AcresBurned,Avg_Temperature,Avg_Humidity,Rainfall_30,Rainfall_60,Rainfall_90
2014-09-25T07:27:00Z,El Dorado,9,38.9195001,-120.1140659,,20,,,,,
2014-08-17T07:45:00Z,San Diego,37,32.59154,-116.89516,,20,,,,,
2014-01-04T18:30:00Z,Humboldt,12,0,0,,18,,,,,
2014-07-03T10:45:00Z,Trinity,53,40.41,-123.24,,15,,,,,
2014-07-22T18:00:00Z,Placer,31,0,0,,14,,,,,
2014-06-04T16:30:00Z,Riverside,33,0,0,,14,,,,,
2014-12-12T13:45:00Z,Madera,20,37,18.4,,10,,,,,
2014-08-31T18:00:00Z,Napa,28,0,0,,6,,,,,
2014-08-14T09:30:00Z,Siskiyou,47,41.796,-123.374,,0,,,,,
2015-11-09T12:00:00Z,Fresno,10,36.874,-118.905,,151623,,,,,
2015-07-31T20:25:00Z,Trinity,53,0,0,,77081,,,,,
2015-08-14T18:15:00Z,Lake,17,38.8863538,-122.4762475,,69438,,,,,
2015-08-24T10:00:00Z,Trinity,53,0,0,,36503,,,,,
2015-08-01T22:15:00Z,San Bernardino,36,34.16027778,-116.8927778,,31359,,,,,
2015-08-04T09:00:00Z,Del Norte,8,0,0,,30361,,,,,
2015-08-03T14:00:00Z,Trinity,53,0,0,,29416,,,,,
2015-08-25T06:45:00Z,Lake,"17,28",38.8142503,-122.4867319,,25118,,,,,
2015-08-25T06:45:00Z,Napa,"17,28",38.8142503,-122.4867319,,25118,,,,,
2015-08-04T10:37:00Z,Lassen,18,40.938,-120.105,,10570,,,,,
2015-11-09T12:00:00Z,Del Norte,8,0,0,,7509,,,,,
2015-02-12T07:35:00Z,Inyo,"14,26",0,0,,7000,,,,,
2015-02-12T07:35:00Z,Mono,"14,26",0,0,,7000,,,,,
2015-09-05T18:00:00Z,Tulare,54,36.24,-118.54,,6980,,,,,
2015-08-13T10:30:00Z,Madera,20,37.279722,-119.50014,,5702,,,,,
2015-08-19T19:15:00Z,Humboldt,12,0,0,,4883,,,,,
2015-07-31T20:00:00Z,Modoc,25,41.399,-121.392,,4863,,,,,
2015-07-21T07:00:00Z,San Bernardino,36,34.339,-117.478,,4250,,,,,
2015-08-23T17:45:00Z,Mono,26,0,0,,3676,,,,,
2015-08-22T18:30:00Z,Alameda,1,37.3845,-121.3732,,2700,,,,,
2015-08-28T18:15:00Z,San Luis Obispo,40,35.3477,-120.6269,,2446,,,,,
2015-08-12T19:15:00Z,Nevada,29,39.192088,-120.882313,,2304,,,,,
2015-08-18T19:00:00Z,San Diego,37,0,0,,1850,,,,,
2015-06-24T18:30:00Z,San Luis Obispo,40,0,0,,1791,,,,,
2015-06-29T09:00:00Z,Trinity,53,40.924,-123.168,,1542,,,,,
2015-08-01T19:00:00Z,Merced,24,0,0,,1450,,,,,
2015-07-21T07:15:00Z,Merced,24,0,0,,1333,,,,,
2015-09-27T18:15:00Z,Monterey,27,36.3699644,-121.589554,,1086,,,,,
2015-04-24T07:30:00Z,Riverside,33,33.884313,-117.642759,,1049,,,,,
2015-09-17T19:30:00Z,Butte,4,39.5218,-121.3363,,1042,,,,,
2015-06-25T18:45:00Z,Madera,20,37.165767,-119.523943,,920,,,,,
2015-10-04T18:40:00Z,Butte,4,0,0,,860,,,,,
2015-09-08T19:28:00Z,Lake,17,55.23,-122,,673,,,,,
2015-10-16T18:00:00Z,San Benito,35,36.70854,-121.32734,,670,,,,,
2015-08-15T17:30:00Z,Riverside,33,33.5736,-116.5387,,543,,,,,
2015-02-20T19:00:00Z,Mono,26,0,0,,509,,,,,
2015-06-19T08:15:00Z,Madera,20,0,0,,500,,,,,
2015-07-26T10:30:00Z,Tulare,54,36.085212,-118.824235,,430,,,,,
2015-09-11T11:00:00Z,Mariposa,22,0,0,,415,,,,,
2015-06-26T17:00:00Z,Los Angeles,19,34.361007,-118.535793,,415,,,,,
2015-08-03T17:00:00Z,Butte,4,39.43963,-121.38794,,400,,,,,
2015-08-20T08:10:00Z,Los Angeles,19,0,0,,374,,,,,
2015-07-02T06:36:00Z,Amador,3,0,0,,355,,,,,
2015-08-16T20:00:00Z,Los Angeles,19,0,0,,300,,,,,
2015-06-06T07:15:00Z,Alameda,1,0,0,,300,,,,,
2015-08-12T08:00:00Z,Ventura,56,0,0,,282,,,,,
2015-05-11T12:15:00Z,Merced,24,37.08312,-121.06963,,275,,,,,
2015-05-28T10:30:00Z,Alameda,1,0,0,,242,,,,,
2015-08-07T21:00:00Z,Mendocino,23,0,0,,227,,,,,
2015-09-10T18:50:00Z,Santa Clara,43,0,0,,215,,,,,
2015-08-27T15:15:00Z,Lake,17,38.925764,-122.879272,,215,,,,,
2015-07-15T18:45:00Z,Orange,30,33.7626,-117.7274,,214,,,,,
2015-08-01T19:00:00Z,Shasta,45,40.415108,-122.439939,,212,,,,,
2015-06-29T17:05:00Z,Santa Barbara,42,0,0,,211,,,,,
2015-08-04T18:00:00Z,Tuolumne,55,37.823,-120.15644,,204,,,,,
2015-08-04T08:15:00Z,Los Angeles,19,34.367,-117.683,,200,,,,,
